volume	sample_kind	page	line	token_index	base_token	alternate_token	reason	alignment_method	alignment_attribution	resynchronization_attribution	resynchronization_source	base_to_alternate_page_delta	base_line	alternate_line
wts_1_34	adoption	5	33	3	rNin-ma-Schule	rÑin-ma-Schule	alternate_witness_google_loc_nasal_upgrade	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	Gelehrter der rNin-ma-Schule des Buddhismus, Chime Rigdzin Lama, Shantiniketan	Gelehrter der rÑin-ma-Schule des Buddhismus, Chime Rigdzin Lama, Shantiniketan
wts_1_34	adoption	6	8	1	dGe-bses	dGe-bśes	alternate_witness_google_loc_fricative_upgrade	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	dGe-bses Iha-ram-pa-Prüfung in Tibet abgelegt hatten, vom Dalai Lama ausgewählt und	dGe-bśes lha-ram-pa-Prüfung in Tibet abgelegt hatten, vom Dalai Lama ausgewählt und
wts_1_34	adoption	6	8	2	Iha-ram-pa-Prüfung	lha-ram-pa-Prüfung	alternate_witness_hyphenated_initial_i_to_l_translit	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	dGe-bses Iha-ram-pa-Prüfung in Tibet abgelegt hatten, vom Dalai Lama ausgewählt und	dGe-bśes lha-ram-pa-Prüfung in Tibet abgelegt hatten, vom Dalai Lama ausgewählt und
wts_1_34	adoption	8	58	14	gron	groṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	ist Grundlage für die Anordnung (z.B.: auf ku $a la folgt ku sa’ gron khyer).	ist Grundlage für die Anordnung (z.B.: auf ku $a la folgt ku sa’ groṅ khyer).
wts_1_34	adoption	12	21	4	L$dz	Lśdz	alternate_witness_citation_siglum	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	zu halten (Glu, L$dz, Tise usw.).	zu halten (Glu, Lśdz, Tise usw.).
wts_1_34	adoption	12	32	17	mnon	mṅon	alternate_witness_google_loc_nasal_upgrade	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	AA Byams pa: Ses rab kyi pha rol tu phyin pa’i man nag gi bstan bcos mnon par rtogs pa’i	Ahs Byams pa: Ses rab kyi pha rol tu phyin pa'i man nag gi bstan bcos mṅon par rtogs pa'i
wts_1_34	adoption	23	30	4	bzan	bzaṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	Dun DKAR, Blo bzan ’phrin las mchog 1981: Deb ther dmar po rmams kyı dan po hu lan deb ther.	Dun DKAR, Blo bzaṅ ’phrin las mchog 1981: Deb ther dmar po rmams kyı daṅ po hu lan deb ther.
wts_1_34	adoption	23	30	15	dan	daṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	Dun DKAR, Blo bzan ’phrin las mchog 1981: Deb ther dmar po rmams kyı dan po hu lan deb ther.	Dun DKAR, Blo bzaṅ ’phrin las mchog 1981: Deb ther dmar po rmams kyı daṅ po hu lan deb ther.
wts_1_34	adoption	23	34	3	ses	śes	alternate_witness_google_loc_fricative_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	chen mo ses bya rab gsal (Außentitel: Dun dkar tshigmdzod chen mo). Pe cin: Krun go’ibod rig	chen mo śes bya rab gsal (Außentitel: Dun dkar tshigmdzod chen mo). Pe cin: Krun go’ibod rig
wts_1_34	adoption	23	105	6	sgrun	sgruṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	Glin ge sar rgyal po’i sgrun ] STEIN 1956 [Gesar]	Glin ge sar rgyal po’i sgruṅ ] STEIN 1956 [Gesar]
wts_1_34	adoption	23	111	5	gZon	gŹon	alternate_witness_google_loc_fricative_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	’Gos lo tsä ba gZon nu dpal ! LokesH CHanpra 1976 [Debn]	’Gos lo tsä ba gŹon nu dpal ! LokesH CHanpra 1976 [Debn]
wts_1_34	adoption	23	114	4	Ihun	lhun	alternate_witness_initial_i_to_l_translit	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	von bKra 475 Ihun po bLo bzan dPal ldan Ye ses. Aus dem tibetischen Original übersetzt und	von bKra 475 lhun po bLo bzaṅ dPal ldan Ye śes. Aus dem tibetischen Original übersetzt und
wts_1_34	unresolved	3					unalignable_rewrapped_page						searched_alternate_pages=3-7	3:unalignable_rewrapped_page(34/55);4:unalignable_rewrapped_page(34/31);5:unalignable_rewrapped_page(34/37);6:unalignable_rewrapped_page(34/84);7:unalignable_rewrapped_page(34/85)
wts_1_34	unresolved	4					unalignable_rewrapped_page						searched_alternate_pages=4-8	4:unalignable_rewrapped_page(31/31);5:unalignable_rewrapped_page(31/37);6:unalignable_rewrapped_page(31/84);7:unalignable_rewrapped_page(31/85);8:unalignable_rewrapped_page(31/57)
wts_1_34	unresolved	7					unalignable_rewrapped_page						searched_alternate_pages=7-11	7:unalignable_rewrapped_page(82/85);8:unalignable_rewrapped_page(82/57);9:unalignable_rewrapped_page(82/69);10:unalignable_rewrapped_page(82/66);11:unalignable_rewrapped_page(82/126)
wts_1_34	unresolved	9					unalignable_rewrapped_page						searched_alternate_pages=9-13	9:unalignable_rewrapped_page(69/69);10:unalignable_rewrapped_page(69/66);11:unalignable_rewrapped_page(69/126);12:unalignable_rewrapped_page(69/41);13:unalignable_rewrapped_page(69/116)
wts_1_34	unresolved	10					unalignable_rewrapped_page						searched_alternate_pages=10-14	10:unalignable_rewrapped_page(66/66);11:unalignable_rewrapped_page(66/126);12:unalignable_rewrapped_page(66/41);13:unalignable_rewrapped_page(66/116);14:unalignable_rewrapped_page(66/120)
wts_1_34	unresolved	11					unalignable_rewrapped_page						searched_alternate_pages=11-15	11:unalignable_rewrapped_page(42/126);12:unalignable_rewrapped_page(42/41);13:unalignable_rewrapped_page(42/116);14:unalignable_rewrapped_page(42/120);15:unalignable_rewrapped_page(42/116)
wts_1_34	unresolved	13					unalignable_rewrapped_page						searched_alternate_pages=13-17	13:unalignable_rewrapped_page(112/116);14:unalignable_rewrapped_page(112/120);15:unalignable_rewrapped_page(112/116);16:unalignable_rewrapped_page(112/106);17:unalignable_rewrapped_page(112/103)
wts_1_34	unresolved	14					unalignable_rewrapped_page						searched_alternate_pages=14-18	14:unalignable_rewrapped_page(115/120);15:unalignable_rewrapped_page(115/116);16:unalignable_rewrapped_page(115/106);17:unalignable_rewrapped_page(115/103);18:unalignable_rewrapped_page(115/113)
wts_35_51	adoption	1	15	5	Ita	lta	alternate_witness_initial_i_to_l_translit	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	dus = dpyid ka’i dus Ita bu’am mig la’an yid	dus = dpyid ka’i dus lta bu’am mig la’an yid
wts_35_51	adoption	1	66	10	sin	śin	alternate_witness_google_loc_fricative_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	(KTh 1: 36,1); na tshod yar yar 'dzegs sin man	(KTh 1: 36,1); na tshod yar yar 'dzegs śin man
wts_35_51	adoption	1	93	8	nid	ñid	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	bcom ldan ’das kyıs ... mdzes pa nid dan / ~	bcom ldan ’das kyıs ... mdzes pa ñid daṅ / ~
wts_35_51	adoption	1	93	9	dan	daṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	bcom ldan ’das kyıs ... mdzes pa nid dan / ~	bcom ldan ’das kyıs ... mdzes pa ñid daṅ / ~
wts_35_51	adoption	1	107	8	ses	śes	alternate_witness_google_loc_fricative_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	Lex. drod ıni $es & ran tshod mi ses pa la’an	Lex. drod ıni $es & ran tshod mi śes pa la’an
wts_35_51	adoption	2	3	2	gser	gśer	alternate_witness_google_loc_fricative_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	དྲོད་གཤེར་ drod gser	དྲོད་གཤེར་ drod gśer
wts_35_51	adoption	2	22	2	gser	gśer	alternate_witness_google_loc_fricative_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	དྲོད་གཤེར་ལས་སྐྱེ་བ་ drod gser las skye ba „aus	དྲོད་གཤེར་ལས་སྐྱེ་བ་ drod gśer las skye ba „aus
wts_35_51	adoption	2	36	8	bzan	bzaṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	Lex. dza ti sukmel ka ko la / — bzan po gsum	Lex. dza ti sukmel ka ko la / — bzaṅ po gsum
wts_35_51	adoption	2	44	4	kyan	kyaṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	chen po dag kyan gsol bar mdzad „er nahm	chen po dag kyaṅ gsol bar mdzad „er nahm
wts_35_51	adoption	2	66	6	dan	daṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	dur ’og chu — rdol ba dan (metr.) „unterhalb einer Leichenstätte quillt warmes Was-	dur ’og chu — rdol ba daṅ (metr.) „unterhalb einer Leichenstätte quillt warmes Was-
wts_35_51	adoption	2	79	1	sen	seṅ	alternate_witness_google_loc_nasal_upgrade	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	sen ge rnams kyi zas yin no „was es hier an frischem Fleisch und warmem Blut gibt, das ist	seṅ ge rnams kyi zas yin no „was es hier an frischem Fleisch und warmem Blut gibt, das ist
wts_35_51	adoption	2	92	7	Ita	lta	alternate_witness_initial_i_to_l_translit	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	Lex. chu tsha po’am dron 'jam Ita bu „wie:	Lex. chu tsha po’am dron 'jam lta bu „wie:
wts_35_51	unresolved	3					unalignable_rewrapped_page						searched_alternate_pages=3-7	3:unalignable_rewrapped_page(74/82);4:unalignable_rewrapped_page(74/82);5:unalignable_rewrapped_page(74/95);6:unalignable_rewrapped_page(74/82);7:unalignable_page_content(110/110)
wts_35_51	unresolved	4					unalignable_rewrapped_page						searched_alternate_pages=4-8	4:unalignable_rewrapped_page(77/82);5:unalignable_rewrapped_page(77/95);6:unalignable_rewrapped_page(77/82);7:unalignable_rewrapped_page(77/91);8:unalignable_rewrapped_page(77/88)
wts_35_51	unresolved	5					unalignable_rewrapped_page						searched_alternate_pages=5-9	5:unalignable_rewrapped_page(85/95);6:unalignable_rewrapped_page(85/82);7:unalignable_rewrapped_page(85/91);8:unalignable_rewrapped_page(85/88);9:unalignable_rewrapped_page(85/84)
wts_35_51	unresolved	8					unalignable_rewrapped_page						searched_alternate_pages=8-12	8:unalignable_rewrapped_page(84/88);9:unalignable_rewrapped_page(84/84);10:unalignable_rewrapped_page(84/78);11:unalignable_rewrapped_page(84/88);12:unalignable_rewrapped_page(84/104)
wts_35_51	unresolved	19					unalignable_rewrapped_page						searched_alternate_pages=19-23	19:unalignable_rewrapped_page(78/85);20:unalignable_rewrapped_page(78/95);21:unalignable_rewrapped_page(78/85);22:unalignable_rewrapped_page(78/93);23:unalignable_rewrapped_page(78/89)
wts_35_51	unresolved	25					unalignable_rewrapped_page						searched_alternate_pages=25-29	25:unalignable_rewrapped_page(73/80);26:unalignable_rewrapped_page(73/90);27:unalignable_rewrapped_page(73/98);28:unalignable_rewrapped_page(73/90);29:unalignable_rewrapped_page(73/93)
wts_35_51	unresolved	26					unalignable_rewrapped_page						searched_alternate_pages=26-30	26:unalignable_rewrapped_page(80/90);27:unalignable_rewrapped_page(80/98);28:unalignable_rewrapped_page(80/90);29:unalignable_rewrapped_page(80/93);30:unalignable_rewrapped_page(80/72)
wts_35_51	unresolved	28					unalignable_rewrapped_page						searched_alternate_pages=28-32	28:unalignable_rewrapped_page(77/90);29:unalignable_rewrapped_page(77/93);30:unalignable_rewrapped_page(77/72);31:unalignable_rewrapped_page(77/78);32:unalignable_rewrapped_page(77/81)
