volume	page	line	token_index	base_token	alternate_token	proposed_target	reason	base_key	alternate_key	candidate_family	context_excerpt	alternate_line	evidence	confidence	suggested_action	score	score_explanation	alignment_method	alignment_attribution	resynchronization_attribution
wts_8_b	3	4	5	Blo-bzan	Blo-bzaṅ	Blo-bzaṅ	unsafe_token_disagreement	blobzan	blobzan	google_tibetan_diacritic_disagreement	pa Losang Panglung (Byams-pa Blo-bzan sPan-lun) Abschied genommen. Am 19.	pa Losang Panglung (Byams-pa Blo-bzaṅ sPan-lun) Abschied genommen. Am 19.	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_8_b	5	12	1	I.MU	LMU	LMU	non_translit_context	i.mu	lmu	citation_or_siglum	I.MU konnte er dort im Jahre 1967 das Studium der Indologie, Tibewlogie, Mongoli-	LMU konnte er dort im Jahre 1967 das Studium der Indologie, Tibetologie, Mongoli-	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for LMU; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	7	20	4	Mūlasarvāstivādavinaya	kā	kā	non_translit_context	mulasarvastivadavinaya	ka	citation_or_siglum	Die Erzählstoffe des Mūlasarvāstivādavinaya, analysiert auf Grund der tibe-	/ Yasobhadra: Sarvaguhya pradīpaṭī kā. Abt. rGyud, ha 203b5–234a7.	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for kā; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	7	20	6	auf	rGyud	rGyud	non_translit_context	auf	rgyud	citation_or_siglum	Die Erzählstoffe des Mūlasarvāstivādavinaya, analysiert auf Grund der tibe-	/ Yasobhadra: Sarvaguhya pradīpaṭī kā. Abt. rGyud, ha 203b5–234a7.	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for rGyud; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	7	38	4	für	K	K	unsafe_token_disagreement	fur	k	citation_or_siglum	mdor bsdus. Kurzfassung für die Praxis = Lamrim, Langenfeld (bei Neu-	monk pilgrim. Patna: K. P. Jayaswal Research Institute, 1959. [ChagNth]	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for K; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	7	38	5	die	P	P	unsafe_token_disagreement	die	p	citation_or_siglum	mdor bsdus. Kurzfassung für die Praxis = Lamrim, Langenfeld (bei Neu-	monk pilgrim. Patna: K. P. Jayaswal Research Institute, 1959. [ChagNth]	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for P; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	7	38	10	Neu	ChagNth	ChagNth	unsafe_token_disagreement	neu	chagnth	citation_or_siglum	mdor bsdus. Kurzfassung für die Praxis = Lamrim, Langenfeld (bei Neu-	monk pilgrim. Patna: K. P. Jayaswal Research Institute, 1959. [ChagNth]	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for ChagNth; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	130	24	2	Liyl	vaiḍūrya	Liyl	unsafe_token_disagreement	liyl	vaidurya	citation_or_siglum	"ihn!"" (Liyl 17535); bu bkum du dogs nas bu"	em vaiḍūrya“ (Suv 8,22); dri med rgya chen	sigla_registry	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Liyl; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	130	33	8	sie	śel	śel	unsafe_token_disagreement	sie	sel	citation_or_siglum	"(Tär 168,18); gsum mdo Zigtu — ba ""sie setz-"	mu tig dag dan / dag dan / man śel dkar	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for śel; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	130	80	1	VaiNth	rnam	VaiNth	unsafe_token_disagreement	vainth	rnam	citation_or_siglum	(VaiNth 190,1); sa chen 'di la gom pa bdum	rnam par snaṅ mdzad ~'i glin na theg pa che	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for VaiNth; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_8_b	130	80	3	1	snaṅ	snaṅ	unsafe_token_disagreement	1	snan	google_tibetan_diacritic_disagreement	(VaiNth 190,1); sa chen 'di la gom pa bdum	rnam par snaṅ mdzad ~'i glin na theg pa che	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_8_b	130	87	2	mdud	VaiNth	VaiNth	unsafe_token_disagreement	mdud	vainth	citation_or_siglum	"thig mdud pa — rog(s) mdzod ""hilf mir, die"	"te"" (VaiNth 151,2); g.yu sgras slob dpon ~ la"	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for VaiNth; do not treat as Sanskrit/Tibetan OCR evidence.			
